"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5379","Login should fail with bỏ trống mật khẩu","Desktop Chrome","2026-08-07","passed","2026-08-07","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","22535","Add technical document should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-07","passed","2026-08-07","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","23150","Add technical document should fail with không nhập tiêu đề","Desktop Chrome","2026-08-07","passed","2026-08-07","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","20248","[Sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-07","failed","2026-08-07","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","25262","Add Service Category 1 should fail with không nhập tiêu đề","Desktop Chrome","2026-08-07","passed","2026-08-07","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","22826","Add news should fail with không nhập tiêu đề","Desktop Chrome","2026-08-07","passed","2026-08-07","News Management Tests","admin/news.spec.ts","",""
"","5387","Login should fail with sai tên đăng nhập","Desktop Chrome","2026-08-07","passed","2026-08-07","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","8","[Trang chủ] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-07","failed","2026-08-07","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","63953","Add news successfully and verify on website","Desktop Chrome","2026-08-07","failed","2026-08-07","News Management Tests","admin/news.spec.ts","",""
"","36824","[Trang chủ] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-07","failed","2026-08-07","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","8886","Submit form should fail with số điện thoại chứa chữ cái","Desktop Chrome","2026-08-07","passed","2026-08-07","Contract Feature Tests","web/contract.spec.ts","",""
"","15042","Search should handle từ khóa chứa toàn ký tự đặc biệt","Desktop Chrome","2026-08-07","failed","2026-08-07","Search Feature Tests","web/search.spec.ts","",""
"","5652","Submit form should fail with bỏ trống email","Desktop Chrome","2026-08-07","passed","2026-08-07","Contract Feature Tests","web/contract.spec.ts","",""
"","195796","Bulk insert 35 technical documents via Copy and verify Load More on website","Desktop Chrome","2026-08-07","passed","2026-08-07","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","5826","Submit form should fail with bỏ trống họ tên","Desktop Chrome","2026-08-07","passed","2026-08-07","Contract Feature Tests","web/contract.spec.ts","",""
"","25752","[Chi tiết sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-07","failed","2026-08-07","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
