"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60305","Add technical document successfully and verify on website","Desktop Chrome","2026-08-08","passed","2026-08-08","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","36727","Bulk insert 35 technical documents via Copy and verify Load More on website","Desktop Chrome","2026-08-08","failed","2026-08-08","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","7626","Submit form should fail with bỏ trống họ tên","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","25176","Add project should fail with không nhập tiêu đề","Desktop Chrome","2026-08-08","passed","2026-08-08","Project Management Tests","admin/project.spec.ts","",""
"","54221","Add Service Category 1 successfully and verify on website","Desktop Chrome","2026-08-08","passed","2026-08-08","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","3","[Trang chủ] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-08","failed","2026-08-08","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","11885","Search should handle từ khóa không tồn tại trên hệ thống","Desktop Chrome","2026-08-08","passed","2026-08-08","Search Feature Tests","web/search.spec.ts","",""
"","29083","[Giới thiệu] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-08","failed","2026-08-08","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","6099","Submit form should fail with bỏ trống email","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","26807","Add news should fail with không nhập tiêu đề","Desktop Chrome","2026-08-08","passed","2026-08-08","News Management Tests","admin/news.spec.ts","",""
"","7050","Login should fail with bỏ trống tên đăng nhập","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","3","[Sản phẩm] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-08","failed","2026-08-08","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","26634","Add product should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-08","passed","2026-08-08","Product Management Tests","admin/product.spec.ts","",""
"","18461","Submit form successfully with valid data","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","26581","Add product should fail with không nhập tiêu đề","Desktop Chrome","2026-08-08","passed","2026-08-08","Product Management Tests","admin/product.spec.ts","",""
"","6311","Submit form should fail with bỏ trống điện thoại","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","7938","Search form successfully finds product using dynamic keyword from homepage","Desktop Chrome","2026-08-08","passed","2026-08-08","Search Feature Tests","web/search.spec.ts","",""
"","53266","Add project successfully and verify on website","Desktop Chrome","2026-08-08","passed","2026-08-08","Project Management Tests","admin/project.spec.ts","",""
"","6579","Login should fail with bỏ trống mật khẩu","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","9438","Login should fail with sai tên đăng nhập","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","265414","Bulk insert 35 news via Copy and verify Load More on website","Desktop Chrome","2026-08-08","passed","2026-08-08","News Management Tests","admin/news.spec.ts","",""
"","21174","[Sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-08","failed","2026-08-08","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","9290","Login successfully with valid credentials","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","6784","Login should fail with tấn công SQL Injection","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","239310","Bulk insert 35 projects via Copy and verify Load More on website","Desktop Chrome","2026-08-08","failed","2026-08-08","Project Management Tests","admin/project.spec.ts","",""
"","90236","Bulk insert 35 Service Category 1 manually and verify Load More on website","Desktop Chrome","2026-08-08","failed","2026-08-08","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","5952","Submit form should fail with số điện thoại chứa chữ cái","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","11604","Search should handle từ khóa chỉ có 1 khoảng trắng","Desktop Chrome","2026-08-08","failed","2026-08-08","Search Feature Tests","web/search.spec.ts","",""
"","23586","Add Service Category 1 should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-08","passed","2026-08-08","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","25345","Add Service Category 1 should fail with không nhập tiêu đề","Desktop Chrome","2026-08-08","passed","2026-08-08","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","6302","Submit form should fail with bỏ trống nội dung","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","30072","Add technical document should fail with không nhập tiêu đề","Desktop Chrome","2026-08-08","passed","2026-08-08","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"[PASS] Điểm SEO: 91/100 | Đạt: 20/22 tiêu chí | Ngưỡng: 70%

TỐT","71944","Kiểm tra SEO Onpage: Ánh Sáng Trần Quang (/)","Desktop Chrome","2026-08-08","passed","2026-08-08","SEO Page","seo/seo.spec.ts","",""
"","4","[Chi tiết sản phẩm] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-08","failed","2026-08-08","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","36202","[Trang chủ] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-08","failed","2026-08-08","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","7466","Submit form should fail with nhập toàn khoảng trắng","Desktop Chrome","2026-08-08","failed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","6204","Submit form should fail with số điện thoại quá ngắn","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"[PASS] Điểm SEO: 77/100 | Đạt: 17/22 tiêu chí | Ngưỡng: 70%

TỐT","69350","Kiểm tra SEO Onpage: Hệ thống âm thanh (/he-thong-am-thanh)","Desktop Chrome","2026-08-08","passed","2026-08-08","SEO Page","seo/seo.spec.ts","",""
"","36622","[Chi tiết sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-08","failed","2026-08-08","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","29836","Add project should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-08","passed","2026-08-08","Project Management Tests","admin/project.spec.ts","",""
"","64800","Add news successfully and verify on website","Desktop Chrome","2026-08-08","passed","2026-08-08","News Management Tests","admin/news.spec.ts","",""
"","10944","Search should handle từ khóa chứa toàn ký tự đặc biệt","Desktop Chrome","2026-08-08","failed","2026-08-08","Search Feature Tests","web/search.spec.ts","",""
"","6163","Submit form should fail with sai định dạng email","Desktop Chrome","2026-08-08","passed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","3","[Giới thiệu] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-08","failed","2026-08-08","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","282680","Bulk insert 35 products via Copy and verify Load More on website","Desktop Chrome","2026-08-08","failed","2026-08-08","Product Management Tests","admin/product.spec.ts","",""
"","6517","Login should fail with sai mật khẩu","Desktop Chrome","2026-08-08","passed","2026-08-08","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","26513","Add news should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-08","passed","2026-08-08","News Management Tests","admin/news.spec.ts","",""
"","27281","Add technical document should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-08","passed","2026-08-08","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","7507","Submit form should fail with tấn công XSS","Desktop Chrome","2026-08-08","failed","2026-08-08","Contract Feature Tests","web/contract.spec.ts","",""
"","63125","Add product successfully and verify on website","Desktop Chrome","2026-08-08","passed","2026-08-08","Product Management Tests","admin/product.spec.ts","",""
