"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"[PASS] Điểm SEO: 82/100 | Đạt: 18/22 tiêu chí | Ngưỡng: 70%

TỐT","99466","Kiểm tra SEO Onpage: Hệ thống âm thanh (/he-thong-am-thanh)","Desktop Chrome","2026-08-09","passed","2026-08-09","SEO Page","seo/seo.spec.ts","",""
"","17907","Search should handle từ khóa không tồn tại trên hệ thống","Desktop Chrome","2026-08-09","passed","2026-08-09","Search Feature Tests","web/search.spec.ts","",""
"","6240","Submit form should fail with số điện thoại chứa chữ cái","Desktop Chrome","2026-08-09","passed","2026-08-09","Contract Feature Tests","web/contract.spec.ts","",""
"","72829","Add Service Category 1 successfully and verify on website","Desktop Chrome","2026-08-09","passed","2026-08-09","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","6487","Submit form should fail with bỏ trống nội dung","Desktop Chrome","2026-08-09","passed","2026-08-09","Contract Feature Tests","web/contract.spec.ts","",""
"","36212","Add news should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-09","passed","2026-08-09","News Management Tests","admin/news.spec.ts","",""
"","69497","Add product successfully and verify on website","Desktop Chrome","2026-08-09","failed","2026-08-09","Product Management Tests","admin/product.spec.ts","",""
"","48321","Bulk insert 35 Service Category 1 manually and verify Load More on website","Desktop Chrome","2026-08-09","failed","2026-08-09","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","6433","Login should fail with bỏ trống tên đăng nhập","Desktop Chrome","2026-08-09","passed","2026-08-09","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","6035","Login should fail with bỏ trống mật khẩu","Desktop Chrome","2026-08-09","passed","2026-08-09","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"[PASS] Điểm SEO: 91/100 | Đạt: 20/22 tiêu chí | Ngưỡng: 70%

TỐT","98567","Kiểm tra SEO Onpage: Ánh Sáng Trần Quang (/)","Desktop Chrome","2026-08-09","passed","2026-08-09","SEO Page","seo/seo.spec.ts","",""
"","285495","Bulk insert 35 products via Copy and verify Load More on website","Desktop Chrome","2026-08-09","passed","2026-08-09","Product Management Tests","admin/product.spec.ts","",""
"","80380","Add news successfully and verify on website","Desktop Chrome","2026-08-09","passed","2026-08-09","News Management Tests","admin/news.spec.ts","",""
"","6739","Submit form should fail with sai định dạng email","Desktop Chrome","2026-08-09","passed","2026-08-09","Contract Feature Tests","web/contract.spec.ts","",""
"","9256","Login should fail with tấn công SQL Injection","Desktop Chrome","2026-08-09","passed","2026-08-09","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","7671","Search form successfully finds product using dynamic keyword from homepage","Desktop Chrome","2026-08-09","passed","2026-08-09","Search Feature Tests","web/search.spec.ts","",""
"","48567","Add project successfully and verify on website","Desktop Chrome","2026-08-09","passed","2026-08-09","Project Management Tests","admin/project.spec.ts","",""
"","22875","Add project should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-09","passed","2026-08-09","Project Management Tests","admin/project.spec.ts","",""
"","6839","Submit form should fail with bỏ trống họ tên","Desktop Chrome","2026-08-09","passed","2026-08-09","Contract Feature Tests","web/contract.spec.ts","",""
"","22086","Add Service Category 1 should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-09","passed","2026-08-09","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","244299","Bulk insert 35 projects via Copy and verify Load More on website","Desktop Chrome","2026-08-09","passed","2026-08-09","Project Management Tests","admin/project.spec.ts","",""
"","4","[Sản phẩm] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-09","failed","2026-08-09","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","31650","Add technical document should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-09","passed","2026-08-09","Technical Document Management Tests","admin/techDoc.spec.ts","",""
"","8875","Login successfully with valid credentials","Desktop Chrome","2026-08-09","passed","2026-08-09","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","25588","Add product should fail with không nhập tiêu đề","Desktop Chrome","2026-08-09","passed","2026-08-09","Product Management Tests","admin/product.spec.ts","",""
"","183850","Bulk insert 35 news via Copy and verify Load More on website","Desktop Chrome","2026-08-09","passed","2026-08-09","News Management Tests","admin/news.spec.ts","",""
"","29001","[Chi tiết sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-09","failed","2026-08-09","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","38596","Add news should fail with không nhập tiêu đề","Desktop Chrome","2026-08-09","passed","2026-08-09","News Management Tests","admin/news.spec.ts","",""
